file,type,width_px,height_px,bytes
dist/assets/PBR-CREDITS.txt,txt,,,317
dist/assets/THREE-LICENSE.txt,txt,,,1081
dist/assets/audio/AUDIO-CREDITS.txt,txt,,,3103
dist/assets/audio/arena-funk.mp3,mp3,,,586545
dist/assets/audio/asset-manifest.json,json,,,13434
dist/assets/audio/bell.mp3,mp3,,,19053
dist/assets/audio/cloth-a.mp3,mp3,,,9117
dist/assets/audio/cloth-b.mp3,mp3,,,6093
dist/assets/audio/hunt-electro.mp3,mp3,,,1337083
dist/assets/audio/kenney-impact-license.txt,txt,,,586
dist/assets/audio/kenney-rpg-license.txt,txt,,,458
dist/assets/audio/metal-click.mp3,mp3,,,6525
dist/assets/audio/metal-heavy.mp3,mp3,,,3069
dist/assets/audio/metal-pot.mp3,mp3,,,18621
dist/assets/audio/punch-heavy-a.mp3,mp3,,,9117
dist/assets/audio/punch-heavy-b.mp3,mp3,,,7389
dist/assets/audio/slime-a.mp3,mp3,,,6957
dist/assets/audio/slime-b.mp3,mp3,,,7821
dist/assets/audio/splash-a.mp3,mp3,,,17757
dist/assets/audio/splash-b.mp3,mp3,,,10413
dist/assets/audio/step-grass-a.mp3,mp3,,,10413
dist/assets/audio/step-grass-b.mp3,mp3,,,9117
dist/assets/audio/step-wood-a.mp3,mp3,,,4365
dist/assets/audio/step-wood-b.mp3,mp3,,,3933
dist/assets/audio/water-loop.mp3,mp3,,,85149
dist/assets/audio/whoosh-a.mp3,mp3,,,8253
dist/assets/audio/whoosh-b.mp3,mp3,,,7821
dist/assets/audio/wood-heavy.mp3,mp3,,,4797
dist/assets/audio/wood-plank.mp3,mp3,,,10413
dist/assets/cobblestone_floor_08_diff_2k.jpg,jpg,2048,2048,2289909
dist/assets/cobblestone_floor_08_nor_gl_2k.jpg,jpg,2048,2048,3948187
dist/assets/cobblestone_floor_08_rough_2k.jpg,jpg,2048,2048,1657928
dist/assets/dutch-brick-color.png,png,1254,1254,3193323
dist/assets/dutch-cobblestone-color.png,png,1254,1254,3370532
dist/assets/oak-foliage-v10.png,png,1254,1254,1805672
dist/assets/oak_veneer_02_diff_1k.jpg,jpg,1024,1024,586151
dist/assets/oak_veneer_02_nor_gl_1k.jpg,jpg,1024,1024,306086
dist/assets/oak_veneer_02_rough_1k.jpg,jpg,1024,1024,767259
dist/assets/potato-skin-albedo-realistic.png,png,1254,1254,3264783
dist/assets/potato-skin-color.png,png,1254,1254,3153840
dist/assets/potatoman-concept-board.png,png,1672,941,2882418
dist/assets/potatoman-key-art-crowned-v13.png,png,1672,941,2477438
dist/assets/potatoman-key-art.png,png,1672,941,2527896
dist/assets/potatoman-wordmark-3d.png,png,2079,756,1567950
dist/assets/three.core.js,js,,,1403455
dist/assets/three.module.js,js,,,603113
dist/assets/voices/README.md,md,,,479
dist/assets/voices/manifest.json,json,,,25
